company,website,careers_url,linkedin,remote_policy,notes
Automattic,https://automattic.com,https://automattic.com/work-with-us/,https://www.linkedin.com/company/automattic/,Work from anywhere,Distributed company with worldwide team. Verify each current role and application route.
Buffer,https://buffer.com,https://buffer.com/journey,https://www.linkedin.com/company/bufferapp/,Fully remote worldwide,Company says it can add teammates from anywhere in the world. Check current openings.
Help Scout,https://www.helpscout.com,https://www.helpscout.com/company/careers/,https://www.linkedin.com/company/help-scout/,Remote-first,Remote-first but some roles can be US/Canada-limited. Verify role eligibility.
PartnerHero,https://www.partnerhero.com,https://www.partnerhero.com/careers,https://www.linkedin.com/company/partnerhero/,Global support operations,Useful for customer support and operations roles. Verify country eligibility and pay.
Doist,https://doist.com,https://doist.com/careers,https://www.linkedin.com/company/doist/,Remote-first,Monitor for customer support and operations openings.
GitLab,https://about.gitlab.com,https://about.gitlab.com/jobs/,https://www.linkedin.com/company/gitlab-com/,All-remote,Large all-remote company. Verify seniority and location rules per role.
Canonical,https://canonical.com,https://canonical.com/careers,https://www.linkedin.com/company/canonical/,Global remote-friendly,Often hires globally but may be technical. Search support and sales operations roles.
Toggl,https://toggl.com,https://toggl.com/jobs/,https://www.linkedin.com/company/toggl/,Remote-first,Monitor support and customer success roles.
Oyster,https://www.oysterhr.com,https://www.oysterhr.com/careers,https://www.linkedin.com/company/oysterhr/,Distributed work,Global employment platform; verify roles and region.
Deel,https://www.deel.com,https://www.deel.com/careers,https://www.linkedin.com/company/deel/,Global remote,Monitor support and customer success roles.
Remote,https://remote.com,https://remote.com/careers,https://www.linkedin.com/company/remote.com/,Global remote,Use official careers page for roles.
SafetyWing,https://safetywing.com,https://safetywing.com/jobs,https://www.linkedin.com/company/safetywing/,Remote-first,Monitor customer experience roles.
5CA,https://www.5ca.com,https://www.5ca.com/careers/,https://www.linkedin.com/company/5ca/,Remote support operations,Customer support outsourcing; verify pay and contract terms.
ModSquad,https://modsquad.com,https://modsquad.com/careers/,https://www.linkedin.com/company/modsquad/,Remote digital engagement,Good support/moderation watchlist.
SupportYourApp,https://supportyourapp.com,https://supportyourapp.com/career/,https://www.linkedin.com/company/supportyourapp/,Remote support,Monitor customer support consultant roles.
TELUS Digital,https://www.telusdigital.com,https://www.telusdigital.com/careers,https://www.linkedin.com/company/telus-digital/,Global digital work,Verify country and contractor terms.
Concentrix,https://www.concentrix.com,https://jobs.concentrix.com/,https://www.linkedin.com/company/concentrix/,Global support operations,Large support employer; verify location and work authorization.
Foundever,https://foundever.com,https://foundever.com/careers/,https://www.linkedin.com/company/foundever/,Global support operations,Check remote Nigeria/global roles.
TaskUs,https://www.taskus.com,https://www.taskus.com/careers/,https://www.linkedin.com/company/taskus/,Global operations,Verify location and role fit.
Invisible Technologies,https://www.invisible.co,https://www.invisible.co/careers,https://www.linkedin.com/company/invisible-technologies-inc/,Remote operations,Monitor operations and AI support roles.
